@relation 'COVID-19 Survey Student Responses-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,16-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,10,12-17-weka.filters.unsupervised.attribute.StringToNominal-R6-weka.filters.unsupervised.attribute.OrdinalToNumeric-R6'

@attribute 'Time spent on Online Class' numeric
@attribute 'Time spent on self study' numeric
@attribute 'Time spent on fitness' numeric
@attribute 'Time spent on sleep' numeric
@attribute 'Time spent on social media' numeric
@attribute 'Time spent on TV' numeric
@attribute 'Time utilized' {YES,NO}

@data
0,1,0,8,5,7,NO
4,4,1,6,1,0,YES
1,1,1,8,2,0,NO
4,5,1,13,2,2,YES
4,3,1,7,1,0,NO
2,1,1,9,2,5,NO
3,4,1,9,2,1,YES
4,3,0,6,2,1,NO
2,5,3,11,1,0,NO
1,1,1,7,2,5,YES
3,1,0.5,7,4,0,YES
2,2,1,7,1,0,YES
1,2,0,10,1,0,NO
0,1,0,8,2,0,NO
2,5,1,9,1,0,YES
0.8,1,0,8,1,0,NO
2,1,1,9,2,0,YES
2,2,1,7,1,0,YES
0.75,2,2,6,1,0,YES
0.75,1,1,12,1,0,YES
0.75,2,1,12,1,0,YES
4,4,0,5,6,0,YES
4,4,1,8,0,1,NO
0,2,0,10,2,1,NO
4,6,0,8,3,1,YES
5,1,1,5,2,9,NO
3,2,1,8,3,1,NO
0,0,0,12,4,15,NO
4,2,1,7,1,1,NO
4,5,0,6,2,1,YES
0,3,0,8,4,5,NO
2,2,1,9,1,1,YES
6,4,1,7,2,1,NO
4,3,0,8,3,1,NO
4,4,1,7,1,5,NO
5,0.5,0,8,1,3,NO
5,2,1,7,1,1,YES
6,2,1,11,6,5,NO
3,2,0,9,4,0,NO
1,1,2,8,2,3,NO
2,1,1,5,1,1,YES
2,2,0,6,3,1,NO
3,3,1,8,3,1,YES
4,3,1,8,3,2,YES
5,1,0.5,9,1.5,1,NO
5,3,0,9,5,0,YES
1,2,1,9,1.5,3,NO
6,2,1,8,4,1,NO
3,6.5,0,7,0.5,1,YES
3,2,1,7,2,0,YES
0,4,1,8,1,1,YES
5,4,2,8,1,1,NO
0,0.5,1,10,1,1,NO
0,0,0,10,10,1,NO
3,3,1,7,2,0,YES
2,1,1,10,4,0,NO
0,3,1,9,2,1,NO
3,4,1,7,1,5,NO
4,5,2,7,0.5,1,YES
3,3,0,7,4,1,NO
7,0,0,8,3,1,YES
0,2,2,9,2,3,YES
4,2,1,6,2,0,YES
4,2,1,7,3,1,YES
3,6,1,7,1.5,3,YES
0,1,0,14,2,5,NO
4,1,2,12,2,5,YES
6,6,1,8,0,0,NO
3,3,0,9,2,1,YES
1,3,0,10,4,1,NO
0,6,1,6,1,5,YES
3,5,1,7,1,1,NO
1,2,1,7,3,1,NO
2,10,1,6,1,1,YES
2,1,2,5,4,0,YES
3,1,1,9,4,3,YES
2,2,1,9,1,0,YES
2,2,0,12,2,1,YES
2,5,1,12,1,1,YES
0,1,0,8,4,2,NO
0,1,1,10,9,5,YES
2,3,1,8,2,0,YES
7,3,2,6,2,1,YES
7,2,1,8,3,0,YES
2,1.5,1,7,1,5,NO
4,4,0,7,2,0,YES
3,2,0,6,2,1,NO
0,0.5,1,6,2,0,NO
5,2,2,6,3,5,NO
4,1,0,6,2,1,NO
3,3,1,8,3,5,NO
2,2,0,9,5,0,NO
1.5,2.5,2,9,1,7,NO
3,3,0,9,4,20,NO
2,4,1,6,3,0,NO
4,5,1,6,1,5,YES
3,7,1,6,1,0,YES
2,0,0,11,1.5,5,NO
3,3,0,10,2,1,NO
5,2,3,10,1,3,YES
2,6,1,5,4,3,YES
0,1,1,9,3,1,YES
2,2,1,8,0,1,NO
0,6,0,9,1,0,NO
1,4,0.25,10,1,1,NO
2,3,1,8,2,2,YES
4,4,1,4,3,5,YES
4,5,1,8,2,0,YES
2,2,0,9,10,0,YES
1,4,1,9,1,0,YES
4,3,0,8,2,0,YES
4,1,1,10,2,0,NO
2,1,2,8,4,5,NO
0,2,1,7,4,1,NO
3,1,0,10,1,1,NO
6,6,0,8,2,3,YES
2,2,1,8,1,1,NO
0,3,0,10,4,0,NO
3,2,1,7,5,5,NO
4,2,1,12,2,5,NO
2,4,1,8,2,1,YES
0,0,1,5,4,1,NO
5,4,1,7,3,0,YES
3,2,1,6,1,1,YES
2,2,1,8,4,0,NO
3,2,1,9,5,0,NO
3,5,0,6,1,1,NO
4,2,0,8,2,9,YES
2,2,1,8,2,1,YES
2,2,2,8,3,1,YES
5,4,1,7,1,1,YES
0,5,0,8,1,?,NO
1,5,1,11,2,1,NO
5,3,0,7,2,1,YES
4,2,0.5,6,2,1,YES
1,1,2,7,2,1,YES
2,5,0.3,8,1,0,NO
4,3,1,9,3,0,NO
6,4,2,6,2,1,YES
0.5,2,1,9,1,1,NO
1,0,0,9,3,1,NO
4,2,1,9,7,2,NO
2,2,0,8,1,1,NO
5.5,3,1,8,1,1,YES
0,0,0,9,4,1,NO
6,3,0,7,2,5,NO
4,1,0,9,2,1,NO
5,4,0.5,6,1,5,YES
3,1,1,6,2,1,YES
2,4,0,8,1.5,1,NO
3,2,1,6,3,5,YES
7,8,0,6,1,0,NO
5,2,1,7,0,0,YES
0.5,1,1,8,0.5,21,NO
0,2,1,8,2,5,YES
4,3,1,7.8,4,5,NO
5,1,1,8,2,5,YES
1,0,0,8,4,1,NO
3,5,0,8,2,1,YES
1,2,1,6.7,1,0,YES
5,3,3,8,2,5,YES
4,1,2,9,2,3,NO
1,2,1,5,10,1,NO
7,2,0,8,3,1,NO
3,3,1,7,1,0,NO
2,3,0,5,1,0,NO
0,2,2,7,4,0,YES
4,0,0,7,1,1,NO
4,4,2,10,2,0,YES
5,4,0.5,8,0.5,1,NO
1,1,1,7,1,1,NO
5,2,1,8,1,9,YES
2,5,0,9,2,3,NO
4,2,1,8,2,0,NO
4,5,1,7,4,1,YES
3,2,0,7,1,1,NO
3,4,0,9,2,0,YES
0,1,1,8,1,1,YES
0,0,1,10,2,0,NO
2,1,0.5,8,2,11,NO
3,4,0,9,3,1,NO
3,2,1,8,1,1,YES
5,3,0,7,2,5,NO
0,4,1,8,0,1,NO
5,4,0,8,2,5,NO
0,1,0,10,4,0,NO
0,0,0,10,5,9,NO
5,2,1,8,4,15,YES
1,2,1,8,2,5,NO
3,2,2,7,3,2,YES
5,5,0,5,2,0,YES
2,1,1,7,4,5,YES
1,1,1,8,3,5,NO
3,2,1,8,2,0,YES
2,0,2,8,4,5,NO
2,1,1,8.5,2,2,NO
2,7,1,9,2,1,NO
0,2,3,9,1,0,NO
3,5,1,8,3,0,YES
2,2,2,7,0.5,1,YES
3,12,0,6,1,1,NO
2,3,0,8,2,1,NO
4,4,0,11,3,1,NO
4,3,1,7,2,5,YES
3,5,0,7,1,1,YES
4,5,0.5,8,1,5,YES
4,4,0,6,4,1,YES
3,8,1,8,1,1,YES
5,6,0,5,2,1,YES
6,2,1,6,2,5,YES
2,3,2,8,1,0,NO
4,2,1,8,5,1,NO
5,6,1,6,0,1,YES
3,3,0,12,1,9,NO
6,4,1,6,3,3,YES
4,2,1,10,1,0,YES
4,2,0.5,7,3,0,YES
2,3,0,9,2,3,NO
2,3,0.5,9,2,1,YES
5,4,1,8,2,0,NO
2,3,1,8,2,0,YES
5,1,0,8,1,3,NO
4,2,0,10,2,1,NO
4,3,1,6,2,5,YES
3,2,1,8,2,3,NO
2,2,0,7,2,0,NO
2,12,1,9,5,0,YES
8,2,0,6,2,2,NO
